0,1,2
"('25.75728', '75.37991', 'Deoli', 'IN', 'Asia/Kolkata')","('33.37526', '74.3092', 'Rajaori', 'IN', 'Asia/Kolkata')","[('11.12018', '76.11996'), ('25.13915', '73.06784'), ('27.9247', '78.40102'), ('21.53889', '71.57737'), ('21.59983', '71.21169'), ('11.93381', '79.82979'), ('16.06213', '76.0586'), ('23.1959', '86.51499'), ('10.10649', '76.35484'), ('28.92694', '78.23456'), ('25.13915', '73.06784')]"
"('29.21399', '78.95693', 'Kashipur', 'IN', 'Asia/Kolkata')","('23.07492', '88.28637', 'Pandua', 'IN', 'Asia/Kolkata')","[('12.1277', '78.15794'), ('28.92694', '78.23456'), ('21.46527', '83.97573'), ('29.22254', '79.5286'), ('26.11527', '86.59509'), ('28.98002', '77.70636'), ('22.88783', '84.13864'), ('15.73628', '75.96976'), ('32.55531', '76.12647')]"
"('30.81383', '75.16878', 'Moga', 'IN', 'Asia/Kolkata')","('24.81757', '84.63445', 'Rafiganj', 'IN', 'Asia/Kolkata')","[('11.93381', '79.82979'), ('19.30157', '72.85107'), ('25.13915', '73.06784'), ('10.12268', '77.54372'), ('11.50526', '77.23826'), ('11.50526', '77.23826'), ('15.73628', '75.96976'), ('33.37526', '74.3092'), ('11.12018', '76.11996')]"
"('15.45144', '78.14797', 'Betamcherla', 'IN', 'Asia/Kolkata')","('18.87813', '72.93924', 'Uran', 'IN', 'Asia/Kolkata')","[('25.49043', '85.94001'), ('21.53889', '71.57737'), ('29.22254', '79.5286'), ('32.55531', '76.12647'), ('10.10649', '76.35484'), ('10.12268', '77.54372'), ('9.57046', '76.32756'), ('25.13915', '73.06784'), ('29.21399', '78.95693'), ('25.92493', '73.66633'), ('22.4711', '88.1453')]"
"('23.07492', '88.28637', 'Pandua', 'IN', 'Asia/Kolkata')","('23.49668', '86.68363', 'Adra', 'IN', 'Asia/Kolkata')","[('23.49668', '86.68363'), ('10.10649', '76.35484'), ('9.57046', '76.32756'), ('25.66795', '85.83636'), ('9.82564', '78.25795'), ('15.5439', '73.7553'), ('15.45144', '78.14797'), ('10.10649', '76.35484'), ('22.75218', '72.68533'), ('29.22254', '79.5286'), ('14.46693', '75.92694')]"
"('26.32293', '91.00632', 'Barpeta', 'IN', 'Asia/Kolkata')","('11.12018', '76.11996', 'Manjeri', 'IN', 'Asia/Kolkata')","[('25.49043', '85.94001'), ('12.95629', '78.27539'), ('22.4711', '88.1453'), ('23.1959', '86.51499'), ('20.88197', '85.83334'), ('26.76628', '83.36889'), ('23.49668', '86.68363'), ('9.82564', '78.25795'), ('24.05979', '77.40858'), ('14.62072', '74.83554')]"
"('11.12018', '76.11996', 'Manjeri', 'IN', 'Asia/Kolkata')","('23.18', '88.58', 'Aistala', 'IN', 'Asia/Kolkata')","[('12.25282', '79.41727'), ('23.1959', '86.51499'), ('25.87498', '86.59611'), ('25.13915', '73.06784'), ('34.08565', '74.80555'), ('26.2649', '81.54855'), ('29.21399', '78.95693'), ('26.11527', '86.59509'), ('10.12268', '77.54372')]"
"('29.22254', '79.5286', 'Haldwani', 'IN', 'Asia/Kolkata')","('32.55531', '76.12647', 'Chamba', 'IN', 'Asia/Kolkata')","[('15.45144', '78.14797'), ('26.2649', '81.54855'), ('9.57046', '76.32756'), ('31.28092', '74.85849'), ('26.32293', '91.00632'), ('34.08565', '74.80555'), ('25.13915', '73.06784'), ('25.6439', '77.9129')]"
"('18.51957', '73.85535', 'Pune', 'IN', 'Asia/Kolkata')","('34.08565', '74.80555', 'Srinagar', 'IN', 'Asia/Kolkata')","[('24.81757', '84.63445'), ('22.10194', '85.37752'), ('10.10649', '76.35484'), ('17.34769', '78.55757'), ('21.46527', '83.97573'), ('33.37526', '74.3092'), ('28.92694', '78.23456'), ('26.76628', '83.36889'), ('10.58806', '77.24779'), ('26.44931', '91.61356')]"
"('17.34769', '78.55757', 'Lal Bahadur Nagar', 'IN', 'Asia/Kolkata')","('12.1277', '78.15794', 'Dharmapuri', 'IN', 'Asia/Kolkata')","[('20.88197', '85.83334'), ('24.81757', '84.63445'), ('23.07492', '88.28637'), ('33.37526', '74.3092'), ('24.41288', '76.56719'), ('11.12018', '76.11996'), ('12.95629', '78.27539'), ('25.75728', '75.37991'), ('9.82564', '78.25795'), ('12.1277', '78.15794'), ('20.88197', '85.83334'), ('28.98002', '77.70636')]"
"('22.4711', '88.1453', 'Pujali', 'IN', 'Asia/Kolkata')","('22.19303', '88.18466', 'Diamond Harbour', 'IN', 'Asia/Kolkata')","[('23.18', '88.58'), ('12.04161', '75.35927'), ('11.00599', '77.5609'), ('21.34222', '71.30633'), ('32.55531', '76.12647'), ('27.9247', '78.40102'), ('26.32293', '91.00632'), ('15.73628', '75.96976'), ('32.55531', '76.12647'), ('26.76628', '83.36889'), ('9.57046', '76.32756'), ('27.9247', '78.40102')]"
"('26.44931', '91.61356', 'Rangia', 'IN', 'Asia/Kolkata')","('26.32293', '91.00632', 'Barpeta', 'IN', 'Asia/Kolkata')","[('29.21399', '78.95693'), ('31.28092', '74.85849'), ('26.32293', '91.00632'), ('20.88098', '75.11937'), ('15.5439', '73.7553'), ('10.58806', '77.24779'), ('23.49668', '86.68363'), ('12.1277', '78.15794')]"
"('10.58806', '77.24779', 'Udumalaippettai', 'IN', 'Asia/Kolkata')","('12.04161', '75.35927', 'Talipparamba', 'IN', 'Asia/Kolkata')","[('31.28092', '74.85849'), ('19.21667', '73.08333'), ('26.44931', '91.61356'), ('22.75218', '72.68533'), ('18.51957', '73.85535'), ('34.08565', '74.80555'), ('22.75218', '72.68533'), ('28.71271', '77.656'), ('23.1959', '86.51499')]"
"('28.92694', '78.23456', 'Bachhraon', 'IN', 'Asia/Kolkata')","('26.2649', '81.54855', 'Jais', 'IN', 'Asia/Kolkata')","[('28.98002', '77.70636'), ('34.08565', '74.80555'), ('15.45144', '78.14797'), ('23.07492', '88.28637'), ('11.00599', '77.5609'), ('14.62072', '74.83554'), ('24.05979', '77.40858'), ('9.82564', '78.25795'), ('19.21667', '73.08333'), ('23.49668', '86.68363'), ('21.59983', '71.21169'), ('28.71271', '77.656')]"
"('29.22254', '79.5286', 'Haldwani', 'IN', 'Asia/Kolkata')","('10.10649', '76.35484', 'Alwaye', 'IN', 'Asia/Kolkata')","[('24.05979', '77.40858'), ('11.00599', '77.5609'), ('25.92493', '73.66633'), ('9.82564', '78.25795'), ('32.55531', '76.12647'), ('25.75728', '75.37991'), ('22.75218', '72.68533'), ('14.46693', '75.92694'), ('10.10649', '76.35484'), ('28.71271', '77.656')]"
"('17.54907', '82.85749', 'Elamanchili', 'IN', 'Asia/Kolkata')","('15.45144', '78.14797', 'Betamcherla', 'IN', 'Asia/Kolkata')","[('25.92127', '86.79271'), ('30.81383', '75.16878'), ('9.57046', '76.32756'), ('15.45144', '78.14797'), ('26.2649', '81.54855'), ('18.51957', '73.85535'), ('10.58806', '77.24779'), ('20.88197', '85.83334'), ('22.4711', '88.1453'), ('11.50526', '77.23826'), ('22.4711', '88.1453'), ('23.1959', '86.51499')]"
"('26.2649', '81.54855', 'Jais', 'IN', 'Asia/Kolkata')","('26.2649', '81.54855', 'Jais', 'IN', 'Asia/Kolkata')","[('17.34769', '78.55757'), ('31.28092', '74.85849'), ('12.95629', '78.27539'), ('28.92694', '78.23456'), ('14.46693', '75.92694'), ('25.49043', '85.94001'), ('18.87813', '72.93924'), ('24.41288', '76.56719'), ('15.73628', '75.96976')]"
"('20.88098', '75.11937', 'Parola', 'IN', 'Asia/Kolkata')","('17.54907', '82.85749', 'Elamanchili', 'IN', 'Asia/Kolkata')","[('22.10194', '85.37752'), ('25.92493', '73.66633'), ('21.46527', '83.97573'), ('26.2649', '81.54855'), ('26.11527', '86.59509'), ('12.25282', '79.41727'), ('29.21399', '78.95693'), ('15.73628', '75.96976'), ('21.46527', '83.97573'), ('14.46693', '75.92694'), ('10.12268', '77.54372'), ('26.32293', '91.00632')]"
"('25.92127', '86.79271', 'Madhipura', 'IN', 'Asia/Kolkata')","('26.76628', '83.36889', 'Gorakhpur', 'IN', 'Asia/Kolkata')","[('28.98002', '77.70636'), ('25.92127', '86.79271'), ('10.10649', '76.35484'), ('12.1277', '78.15794'), ('26.11527', '86.59509'), ('25.92127', '86.79271'), ('18.51957', '73.85535'), ('28.92694', '78.23456'), ('11.93381', '79.82979')]"
"('25.6439', '77.9129', 'Narwar', 'IN', 'Asia/Kolkata')","('14.46693', '75.92694', 'Davangere', 'IN', 'Asia/Kolkata')","[('21.53889', '71.57737'), ('19.30157', '72.85107'), ('23.49668', '86.68363'), ('23.18', '88.58'), ('21.59983', '71.21169'), ('20.88098', '75.11937'), ('28.98002', '77.70636'), ('25.75728', '75.37991'), ('14.46693', '75.92694'), ('11.93381', '79.82979'), ('12.04161', '75.35927'), ('15.73628', '75.96976')]"
"('33.37526', '74.3092', 'Rajaori', 'IN', 'Asia/Kolkata')","('26.44931', '91.61356', 'Rangia', 'IN', 'Asia/Kolkata')","[('11.50526', '77.23826'), ('11.00599', '77.5609'), ('17.54907', '82.85749'), ('25.66795', '85.83636'), ('28.71271', '77.656'), ('10.58806', '77.24779'), ('31.28092', '74.85849'), ('14.62072', '74.83554'), ('11.50526', '77.23826'), ('24.41288', '76.56719'), ('11.50526', '77.23826')]"
"('28.98002', '77.70636', 'Meerut', 'IN', 'Asia/Kolkata')","('21.34222', '71.30633', 'Kundla', 'IN', 'Asia/Kolkata')","[('26.44931', '91.61356'), ('34.08565', '74.80555'), ('22.88783', '84.13864'), ('29.21399', '78.95693'), ('20.88197', '85.83334'), ('22.19303', '88.18466'), ('9.82564', '78.25795'), ('12.04161', '75.35927')]"
"('22.10194', '85.37752', 'Barbil', 'IN', 'Asia/Kolkata')","('29.22254', '79.5286', 'Haldwani', 'IN', 'Asia/Kolkata')","[('23.49668', '86.68363'), ('14.62072', '74.83554'), ('23.1959', '86.51499'), ('19.30157', '72.85107'), ('15.5439', '73.7553'), ('28.71271', '77.656'), ('18.51957', '73.85535'), ('22.75218', '72.68533'), ('25.13915', '73.06784'), ('25.49043', '85.94001'), ('26.11527', '86.59509')]"
"('10.12268', '77.54372', 'Periyakulam', 'IN', 'Asia/Kolkata')","('26.44931', '91.61356', 'Rangia', 'IN', 'Asia/Kolkata')","[('25.75728', '75.37991'), ('18.18158', '76.03889'), ('20.88197', '85.83334'), ('21.53889', '71.57737'), ('32.55531', '76.12647'), ('30.21121', '74.4818'), ('26.2649', '81.54855'), ('25.92493', '73.66633'), ('14.62072', '74.83554'), ('28.98002', '77.70636'), ('9.82564', '78.25795'), ('22.10194', '85.37752')]"
"('18.87813', '72.93924', 'Uran', 'IN', 'Asia/Kolkata')","('23.49668', '86.68363', 'Adra', 'IN', 'Asia/Kolkata')","[('20.88098', '75.11937'), ('9.57046', '76.32756'), ('15.73628', '75.96976'), ('22.10194', '85.37752'), ('26.44931', '91.61356'), ('23.49668', '86.68363'), ('16.06213', '76.0586'), ('24.05979', '77.40858'), ('22.88783', '84.13864'), ('15.73628', '75.96976'), ('11.00599', '77.5609')]"
"('18.18158', '76.03889', 'Osmanabad', 'IN', 'Asia/Kolkata')","('22.19303', '88.18466', 'Diamond Harbour', 'IN', 'Asia/Kolkata')","[('22.10194', '85.37752'), ('20.88098', '75.11937'), ('12.25282', '79.41727'), ('29.21399', '78.95693'), ('18.51957', '73.85535'), ('33.37526', '74.3092'), ('28.98002', '77.70636'), ('29.22254', '79.5286')]"
"('29.22254', '79.5286', 'Haldwani', 'IN', 'Asia/Kolkata')","('15.5439', '73.7553', 'Calangute', 'IN', 'Asia/Kolkata')","[('28.98002', '77.70636'), ('22.19303', '88.18466'), ('24.81757', '84.63445'), ('29.21399', '78.95693'), ('26.44931', '91.61356'), ('26.11527', '86.59509'), ('23.18', '88.58'), ('26.11527', '86.59509'), ('11.93381', '79.82979'), ('24.81757', '84.63445'), ('21.34222', '71.30633'), ('12.1277', '78.15794')]"
"('20.88197', '85.83334', 'Bhuban', 'IN', 'Asia/Kolkata')","('16.06213', '76.0586', 'Hungund', 'IN', 'Asia/Kolkata')","[('25.49043', '85.94001'), ('23.07492', '88.28637'), ('18.51957', '73.85535'), ('11.50526', '77.23826'), ('22.4711', '88.1453'), ('19.30157', '72.85107'), ('26.11527', '86.59509'), ('11.12018', '76.11996'), ('21.53889', '71.57737'), ('9.57046', '76.32756'), ('10.10649', '76.35484'), ('28.98002', '77.70636')]"
"('33.37526', '74.3092', 'Rajaori', 'IN', 'Asia/Kolkata')","('11.00599', '77.5609', 'Kangayam', 'IN', 'Asia/Kolkata')","[('17.34769', '78.55757'), ('25.49043', '85.94001'), ('24.05979', '77.40858'), ('21.59983', '71.21169'), ('20.88098', '75.11937'), ('19.21667', '73.08333'), ('23.1959', '86.51499'), ('31.28092', '74.85849'), ('25.49043', '85.94001'), ('24.81757', '84.63445'), ('26.44931', '91.61356')]"
"('16.06213', '76.0586', 'Hungund', 'IN', 'Asia/Kolkata')","('25.87498', '86.59611', 'Saharsa', 'IN', 'Asia/Kolkata')","[('12.04161', '75.35927'), ('19.21667', '73.08333'), ('12.95629', '78.27539'), ('21.53889', '71.57737'), ('12.04161', '75.35927'), ('11.00599', '77.5609'), ('25.92127', '86.79271'), ('17.34769', '78.55757'), ('25.92127', '86.79271')]"
"('28.92694', '78.23456', 'Bachhraon', 'IN', 'Asia/Kolkata')","('25.6439', '77.9129', 'Narwar', 'IN', 'Asia/Kolkata')","[('30.81383', '75.16878'), ('17.34769', '78.55757'), ('32.55531', '76.12647'), ('10.58806', '77.24779'), ('21.59983', '71.21169'), ('15.45144', '78.14797'), ('11.50526', '77.23826'), ('25.13915', '73.06784'), ('28.98002', '77.70636'), ('11.12018', '76.11996')]"
"('25.49043', '85.94001', 'Teghra', 'IN', 'Asia/Kolkata')","('23.07492', '88.28637', 'Pandua', 'IN', 'Asia/Kolkata')","[('14.46693', '75.92694'), ('26.32293', '91.00632'), ('10.58806', '77.24779'), ('24.05979', '77.40858'), ('15.45144', '78.14797'), ('14.62072', '74.83554'), ('22.75218', '72.68533'), ('11.12018', '76.11996'), ('20.88098', '75.11937')]"
"('17.34769', '78.55757', 'Lal Bahadur Nagar', 'IN', 'Asia/Kolkata')","('12.04161', '75.35927', 'Talipparamba', 'IN', 'Asia/Kolkata')","[('33.37526', '74.3092'), ('10.10649', '76.35484'), ('14.46693', '75.92694'), ('24.05979', '77.40858'), ('21.53889', '71.57737'), ('25.92127', '86.79271'), ('26.2649', '81.54855'), ('9.82564', '78.25795'), ('11.00599', '77.5609'), ('28.98002', '77.70636')]"
"('10.12268', '77.54372', 'Periyakulam', 'IN', 'Asia/Kolkata')","('15.73628', '75.96976', 'Gajendragarh', 'IN', 'Asia/Kolkata')","[('15.45144', '78.14797'), ('29.22254', '79.5286'), ('14.46693', '75.92694'), ('29.21399', '78.95693'), ('11.93381', '79.82979'), ('28.92694', '78.23456'), ('22.75218', '72.68533'), ('25.75728', '75.37991'), ('23.07492', '88.28637'), ('18.51957', '73.85535'), ('24.41288', '76.56719')]"
"('21.59983', '71.21169', 'Amreli', 'IN', 'Asia/Kolkata')","('30.21121', '74.4818', 'Malaut', 'IN', 'Asia/Kolkata')","[('24.41288', '76.56719'), ('15.5439', '73.7553'), ('15.73628', '75.96976'), ('12.95629', '78.27539'), ('14.46693', '75.92694'), ('9.57046', '76.32756'), ('34.08565', '74.80555'), ('17.54907', '82.85749'), ('22.10194', '85.37752')]"
"('21.53889', '71.57737', 'Gariadhar', 'IN', 'Asia/Kolkata')","('9.57046', '76.32756', 'Kalavoor', 'IN', 'Asia/Kolkata')","[('25.49043', '85.94001'), ('25.49043', '85.94001'), ('12.04161', '75.35927'), ('11.93381', '79.82979'), ('22.10194', '85.37752'), ('28.98002', '77.70636'), ('24.05979', '77.40858'), ('29.22254', '79.5286')]"
"('12.25282', '79.41727', 'Gingee', 'IN', 'Asia/Kolkata')","('22.10194', '85.37752', 'Barbil', 'IN', 'Asia/Kolkata')","[('12.95629', '78.27539'), ('15.45144', '78.14797'), ('23.1959', '86.51499'), ('11.93381', '79.82979'), ('15.45144', '78.14797'), ('11.50526', '77.23826'), ('25.49043', '85.94001'), ('25.49043', '85.94001'), ('11.12018', '76.11996'), ('31.28092', '74.85849'), ('24.81757', '84.63445')]"
"('22.10194', '85.37752', 'Barbil', 'IN', 'Asia/Kolkata')","('25.92493', '73.66633', 'Sojat', 'IN', 'Asia/Kolkata')","[('25.66795', '85.83636'), ('21.59983', '71.21169'), ('26.32293', '91.00632'), ('12.04161', '75.35927'), ('11.50526', '77.23826'), ('23.18', '88.58'), ('18.51957', '73.85535'), ('17.34769', '78.55757'), ('25.49043', '85.94001')]"
"('19.21667', '73.08333', 'Dombivli', 'IN', 'Asia/Kolkata')","('20.88197', '85.83334', 'Bhuban', 'IN', 'Asia/Kolkata')","[('25.13915', '73.06784'), ('23.18', '88.58'), ('31.28092', '74.85849'), ('28.92694', '78.23456'), ('20.88197', '85.83334'), ('17.34769', '78.55757'), ('25.92127', '86.79271'), ('10.12268', '77.54372'), ('14.62072', '74.83554')]"
"('22.4711', '88.1453', 'Pujali', 'IN', 'Asia/Kolkata')","('29.22254', '79.5286', 'Haldwani', 'IN', 'Asia/Kolkata')","[('26.76628', '83.36889'), ('26.44931', '91.61356'), ('20.88197', '85.83334'), ('12.95629', '78.27539'), ('12.95629', '78.27539'), ('28.98002', '77.70636'), ('17.54907', '82.85749'), ('11.00599', '77.5609'), ('22.88783', '84.13864'), ('25.6439', '77.9129')]"
"('30.21121', '74.4818', 'Malaut', 'IN', 'Asia/Kolkata')","('25.49043', '85.94001', 'Teghra', 'IN', 'Asia/Kolkata')","[('24.05979', '77.40858'), ('23.49668', '86.68363'), ('11.93381', '79.82979'), ('24.05979', '77.40858'), ('25.13915', '73.06784'), ('9.57046', '76.32756'), ('20.88098', '75.11937'), ('25.13915', '73.06784')]"
"('25.13915', '73.06784', 'Sheoganj', 'IN', 'Asia/Kolkata')","('18.51957', '73.85535', 'Pune', 'IN', 'Asia/Kolkata')","[('22.88783', '84.13864'), ('26.32293', '91.00632'), ('21.46527', '83.97573'), ('23.49668', '86.68363'), ('33.37526', '74.3092'), ('34.08565', '74.80555'), ('25.49043', '85.94001'), ('18.18158', '76.03889'), ('24.05979', '77.40858')]"
"('19.30157', '72.85107', 'Bhayandar', 'IN', 'Asia/Kolkata')","('20.88098', '75.11937', 'Parola', 'IN', 'Asia/Kolkata')","[('21.34222', '71.30633'), ('29.22254', '79.5286'), ('11.12018', '76.11996'), ('25.6439', '77.9129'), ('16.06213', '76.0586'), ('26.44931', '91.61356'), ('18.51957', '73.85535'), ('16.06213', '76.0586'), ('23.18', '88.58'), ('29.21399', '78.95693')]"
"('15.5439', '73.7553', 'Calangute', 'IN', 'Asia/Kolkata')","('14.62072', '74.83554', 'Sirsi', 'IN', 'Asia/Kolkata')","[('26.11527', '86.59509'), ('9.82564', '78.25795'), ('15.73628', '75.96976'), ('21.34222', '71.30633'), ('23.49668', '86.68363'), ('26.32293', '91.00632'), ('21.46527', '83.97573'), ('27.9247', '78.40102'), ('26.2649', '81.54855')]"
"('30.21121', '74.4818', 'Malaut', 'IN', 'Asia/Kolkata')","('23.49668', '86.68363', 'Adra', 'IN', 'Asia/Kolkata')","[('29.22254', '79.5286'), ('25.92493', '73.66633'), ('25.66795', '85.83636'), ('11.00599', '77.5609'), ('19.30157', '72.85107'), ('34.08565', '74.80555'), ('23.07492', '88.28637'), ('15.45144', '78.14797'), ('25.75728', '75.37991'), ('26.11527', '86.59509'), ('24.05979', '77.40858')]"
"('34.08565', '74.80555', 'Srinagar', 'IN', 'Asia/Kolkata')","('24.05979', '77.40858', 'Leteri', 'IN', 'Asia/Kolkata')","[('26.11527', '86.59509'), ('27.9247', '78.40102'), ('23.49668', '86.68363'), ('17.54907', '82.85749'), ('23.07492', '88.28637'), ('12.25282', '79.41727'), ('30.21121', '74.4818'), ('15.73628', '75.96976'), ('25.92493', '73.66633')]"
"('10.12268', '77.54372', 'Periyakulam', 'IN', 'Asia/Kolkata')","('11.12018', '76.11996', 'Manjeri', 'IN', 'Asia/Kolkata')","[('22.4711', '88.1453'), ('17.34769', '78.55757'), ('29.21399', '78.95693'), ('15.45144', '78.14797'), ('27.9247', '78.40102'), ('25.49043', '85.94001'), ('9.82564', '78.25795'), ('11.12018', '76.11996'), ('14.62072', '74.83554'), ('23.07492', '88.28637'), ('11.50526', '77.23826')]"
"('25.13915', '73.06784', 'Sheoganj', 'IN', 'Asia/Kolkata')","('24.81757', '84.63445', 'Rafiganj', 'IN', 'Asia/Kolkata')","[('30.81383', '75.16878'), ('19.21667', '73.08333'), ('22.88783', '84.13864'), ('20.88098', '75.11937'), ('27.9247', '78.40102'), ('18.87813', '72.93924'), ('30.81383', '75.16878'), ('21.53889', '71.57737')]"
"('23.49668', '86.68363', 'Adra', 'IN', 'Asia/Kolkata')","('25.75728', '75.37991', 'Deoli', 'IN', 'Asia/Kolkata')","[('10.58806', '77.24779'), ('16.06213', '76.0586'), ('21.59983', '71.21169'), ('23.1959', '86.51499'), ('11.00599', '77.5609'), ('26.32293', '91.00632'), ('28.71271', '77.656'), ('19.21667', '73.08333')]"
"('28.92694', '78.23456', 'Bachhraon', 'IN', 'Asia/Kolkata')","('25.87498', '86.59611', 'Saharsa', 'IN', 'Asia/Kolkata')","[('33.37526', '74.3092'), ('25.13915', '73.06784'), ('25.92493', '73.66633'), ('9.57046', '76.32756'), ('25.92127', '86.79271'), ('30.21121', '74.4818'), ('22.10194', '85.37752'), ('31.28092', '74.85849'), ('25.66795', '85.83636'), ('26.76628', '83.36889')]"
"('33.37526', '74.3092', 'Rajaori', 'IN', 'Asia/Kolkata')","('23.18', '88.58', 'Aistala', 'IN', 'Asia/Kolkata')","[('25.6439', '77.9129'), ('18.51957', '73.85535'), ('11.93381', '79.82979'), ('24.81757', '84.63445'), ('23.18', '88.58'), ('10.58806', '77.24779'), ('19.21667', '73.08333'), ('16.06213', '76.0586'), ('21.46527', '83.97573'), ('23.49668', '86.68363'), ('25.92493', '73.66633')]"
"('21.34222', '71.30633', 'Kundla', 'IN', 'Asia/Kolkata')","('15.73628', '75.96976', 'Gajendragarh', 'IN', 'Asia/Kolkata')","[('24.41288', '76.56719'), ('17.34769', '78.55757'), ('24.81757', '84.63445'), ('28.98002', '77.70636'), ('29.21399', '78.95693'), ('20.88197', '85.83334'), ('29.22254', '79.5286'), ('21.46527', '83.97573'), ('18.87813', '72.93924'), ('28.71271', '77.656')]"
"('25.13915', '73.06784', 'Sheoganj', 'IN', 'Asia/Kolkata')","('10.12268', '77.54372', 'Periyakulam', 'IN', 'Asia/Kolkata')","[('28.71271', '77.656'), ('22.75218', '72.68533'), ('9.57046', '76.32756'), ('23.07492', '88.28637'), ('25.92493', '73.66633'), ('16.06213', '76.0586'), ('25.92493', '73.66633'), ('12.95629', '78.27539'), ('26.32293', '91.00632'), ('26.44931', '91.61356')]"
"('23.49668', '86.68363', 'Adra', 'IN', 'Asia/Kolkata')","('26.32293', '91.00632', 'Barpeta', 'IN', 'Asia/Kolkata')","[('34.08565', '74.80555'), ('12.25282', '79.41727'), ('12.95629', '78.27539'), ('21.59983', '71.21169'), ('28.71271', '77.656'), ('15.73628', '75.96976'), ('22.88783', '84.13864'), ('17.54907', '82.85749'), ('23.1959', '86.51499')]"
"('25.75728', '75.37991', 'Deoli', 'IN', 'Asia/Kolkata')","('18.51957', '73.85535', 'Pune', 'IN', 'Asia/Kolkata')","[('29.22254', '79.5286'), ('17.54907', '82.85749'), ('25.13915', '73.06784'), ('17.54907', '82.85749'), ('20.88197', '85.83334'), ('22.10194', '85.37752'), ('12.1277', '78.15794'), ('21.34222', '71.30633'), ('11.12018', '76.11996')]"
"('22.88783', '84.13864', 'Jashpurnagar', 'IN', 'Asia/Kolkata')","('24.81757', '84.63445', 'Rafiganj', 'IN', 'Asia/Kolkata')","[('25.92493', '73.66633'), ('19.21667', '73.08333'), ('25.75728', '75.37991'), ('18.18158', '76.03889'), ('15.5439', '73.7553'), ('25.92127', '86.79271'), ('12.1277', '78.15794'), ('22.19303', '88.18466'), ('15.73628', '75.96976'), ('11.00599', '77.5609')]"
"('26.2649', '81.54855', 'Jais', 'IN', 'Asia/Kolkata')","('26.11527', '86.59509', 'Supaul', 'IN', 'Asia/Kolkata')","[('18.51957', '73.85535'), ('16.06213', '76.0586'), ('27.9247', '78.40102'), ('21.59983', '71.21169'), ('11.00599', '77.5609'), ('11.00599', '77.5609'), ('20.88098', '75.11937'), ('28.98002', '77.70636'), ('15.73628', '75.96976'), ('12.95629', '78.27539'), ('15.5439', '73.7553')]"
"('28.92694', '78.23456', 'Bachhraon', 'IN', 'Asia/Kolkata')","('19.30157', '72.85107', 'Bhayandar', 'IN', 'Asia/Kolkata')","[('23.18', '88.58'), ('25.13915', '73.06784'), ('26.32293', '91.00632'), ('11.00599', '77.5609'), ('22.4711', '88.1453'), ('18.18158', '76.03889'), ('25.92127', '86.79271'), ('28.92694', '78.23456'), ('33.37526', '74.3092')]"
"('22.10194', '85.37752', 'Barbil', 'IN', 'Asia/Kolkata')","('25.75728', '75.37991', 'Deoli', 'IN', 'Asia/Kolkata')","[('21.34222', '71.30633'), ('10.58806', '77.24779'), ('22.4711', '88.1453'), ('31.28092', '74.85849'), ('16.06213', '76.0586'), ('17.54907', '82.85749'), ('15.45144', '78.14797'), ('28.71271', '77.656')]"
"('25.92493', '73.66633', 'Sojat', 'IN', 'Asia/Kolkata')","('26.44931', '91.61356', 'Rangia', 'IN', 'Asia/Kolkata')","[('24.05979', '77.40858'), ('32.55531', '76.12647'), ('11.50526', '77.23826'), ('29.21399', '78.95693'), ('26.44931', '91.61356'), ('21.34222', '71.30633'), ('23.1959', '86.51499'), ('24.81757', '84.63445'), ('21.53889', '71.57737'), ('29.21399', '78.95693'), ('18.87813', '72.93924'), ('15.73628', '75.96976')]"
"('32.55531', '76.12647', 'Chamba', 'IN', 'Asia/Kolkata')","('25.66795', '85.83636', 'Dalsingh Sarai', 'IN', 'Asia/Kolkata')","[('24.81757', '84.63445'), ('25.49043', '85.94001'), ('27.9247', '78.40102'), ('23.07492', '88.28637'), ('24.41288', '76.56719'), ('22.19303', '88.18466'), ('18.51957', '73.85535'), ('14.62072', '74.83554'), ('30.21121', '74.4818'), ('25.92493', '73.66633')]"
"('10.58806', '77.24779', 'Udumalaippettai', 'IN', 'Asia/Kolkata')","('11.00599', '77.5609', 'Kangayam', 'IN', 'Asia/Kolkata')","[('10.12268', '77.54372'), ('25.92493', '73.66633'), ('15.45144', '78.14797'), ('29.22254', '79.5286'), ('30.81383', '75.16878'), ('18.87813', '72.93924'), ('21.53889', '71.57737'), ('25.75728', '75.37991')]"
"('25.92493', '73.66633', 'Sojat', 'IN', 'Asia/Kolkata')","('22.88783', '84.13864', 'Jashpurnagar', 'IN', 'Asia/Kolkata')","[('20.88098', '75.11937'), ('25.75728', '75.37991'), ('12.04161', '75.35927'), ('11.12018', '76.11996'), ('21.59983', '71.21169'), ('20.88197', '85.83334'), ('25.92127', '86.79271'), ('29.22254', '79.5286'), ('26.32293', '91.00632'), ('14.46693', '75.92694'), ('11.00599', '77.5609')]"
"('25.92127', '86.79271', 'Madhipura', 'IN', 'Asia/Kolkata')","('21.53889', '71.57737', 'Gariadhar', 'IN', 'Asia/Kolkata')","[('25.87498', '86.59611'), ('12.25282', '79.41727'), ('22.10194', '85.37752'), ('12.25282', '79.41727'), ('22.10194', '85.37752'), ('17.54907', '82.85749'), ('15.73628', '75.96976'), ('24.81757', '84.63445')]"
